45563760,temp-dailymean-GID2-cleaned.RDS
45563763,temp-dailymean-GID2-cleaned.zip
45563811,temp-dailymean-GID1-cleaned.RDS
45563814,temp-dailymean-GID1-cleaned.zip
45563817,temp-dailymean-countries-cleaned.RDS
45563820,temp-dailymean-countries-cleaned.zip
45563823,spechumid-dailymean-GID2-cleaned.RDS
45563826,spechumid-dailymean-GID2-cleaned.zip
45563829,spechumid-dailymean-GID1-cleaned.RDS
45563832,spechumid-dailymean-GID1-cleaned.zip
45563835,spechumid-dailymean-countries-cleaned.RDS
45563838,spechumid-dailymean-countries-cleaned.zip
45563841,relhumid-dailymean-GID2-cleaned.RDS
45563844,relhumid-dailymean-GID2-cleaned.zip
45563847,relhumid-dailymean-GID1-cleaned.RDS
45563850,relhumid-dailymean-GID1-cleaned.zip
45563853,relhumid-dailymean-countries-cleaned.RDS
45563856,relhumid-dailymean-countries-cleaned.zip
45563859,uv-dailymean-GID2-cleaned.RDS
45563862,uv-dailymean-GID2-cleaned.zip
45563865,uv-dailymean-GID1-cleaned.RDS
45563868,uv-dailymean-GID1-cleaned.zip
45563871,uv-dailymean-countries-cleaned.RDS
45563874,uv-dailymean-countries-cleaned.zip
45563877,precip-dailymean-GID2-cleaned.RDS
45563880,precip-dailymean-GID2-cleaned.zip
45563886,precip-dailymean-GID1-cleaned.RDS
45563889,precip-dailymean-GID1-cleaned.zip
45563895,precip-dailymean-countries-cleaned.RDS
45563898,precip-dailymean-countries-cleaned.zip
